source_entity,relationship_type,target_entity,source_document
Blue Economy,INFLUENCED_BY,National Blue Economy Strategy,Kenya Colour Coded Analysis 25-26 June 2025.pdf
aquaculture farmers,PART_OF_INDUSTRY,Blue Economy,Kenya Colour Coded Analysis 25-26 June 2025.pdf
artisanal fishers,PART_OF_INDUSTRY,Blue Economy,Kenya Colour Coded Analysis 25-26 June 2025.pdf
environmental impact assessment,LEADS_TO,Blue Economy,Kenya Colour Coded Analysis 25-26 June 2025.pdf
fisheries,PART_OF_INDUSTRY,Blue Economy,Kenya Colour Coded Analysis 25-26 June 2025.pdf
green technologies,LEADS_TO,Blue Economy,Kenya Colour Coded Analysis 25-26 June 2025.pdf
mariculture,LEADS_TO,Blue Economy,Kenya Colour Coded Analysis 25-26 June 2025.pdf
maritime transport,PART_OF_INDUSTRY,Blue Economy,Kenya Colour Coded Analysis 25-26 June 2025.pdf
mineral resources,PART_OF_INDUSTRY,Blue Economy,Kenya Colour Coded Analysis 25-26 June 2025.pdf
processing plant technicians,PART_OF_INDUSTRY,Blue Economy,Kenya Colour Coded Analysis 25-26 June 2025.pdf
quality assurance officers,PART_OF_INDUSTRY,Blue Economy,Kenya Colour Coded Analysis 25-26 June 2025.pdf
renewable energy,PART_OF_INDUSTRY,Blue Economy,Kenya Colour Coded Analysis 25-26 June 2025.pdf
sustainable resource management,LEADS_TO,Blue Economy,Kenya Colour Coded Analysis 25-26 June 2025.pdf
tourism,PART_OF_INDUSTRY,Blue Economy,Kenya Colour Coded Analysis 25-26 June 2025.pdf
tourism enterprises,PART_OF_INDUSTRY,Blue Economy,Kenya Colour Coded Analysis 25-26 June 2025.pdf
vessel crews,PART_OF_INDUSTRY,Blue Economy,Kenya Colour Coded Analysis 25-26 June 2025.pdf
Public Universities,INFLUENCED_BY,Kenya Universities and Colleges Central Placement Service (KUCCPS),Kenya Higher Education Prerequisites_.pdf
Technical and Vocational Education and Training (TVET) institutions,INFLUENCED_BY,Technical and Vocational Education and Training Authority (TVETA),Kenya Higher Education Prerequisites_.pdf
Aquaculture,PART_OF_INDUSTRY,Blue Economy,Senegal Colour Coded Analysis 25-26 June 2025.pdf
Artisanal Fishing,PART_OF_INDUSTRY,Blue Economy,Senegal Colour Coded Analysis 25-26 June 2025.pdf
Autonomous Port of Dakar (Port Autonome de Dakar - PAD),PART_OF_INDUSTRY,Maritime Transport,Senegal Colour Coded Analysis 25-26 June 2025.pdf
Direction of Environment and Classified Establishments (Direction de l'Environnement et des Établissements Classés - DEEC),PART_OF_INDUSTRY,Blue Economy,Senegal Colour Coded Analysis 25-26 June 2025.pdf
National Agency for Maritime Affairs (Agence Nationale des Affaires Maritimes - ANAM),PART_OF_INDUSTRY,"Ministry of Fisheries, Maritime, and Port Infrastructures (MPEMIP)",Senegal Colour Coded Analysis 25-26 June 2025.pdf
National Aquaculture Agency (Agence Nationale de l'Aquaculture - ANA),PART_OF_INDUSTRY,"Ministry of Fisheries, Maritime, and Port Infrastructures (MPEMIP)",Senegal Colour Coded Analysis 25-26 June 2025.pdf
PETROSEN (Société des Pétroles du Sénégal),PART_OF_INDUSTRY,Offshore Energy,Senegal Colour Coded Analysis 25-26 June 2025.pdf
Plan Sénégal Émergent (PSE),INFLUENCED_BY,Blue Economy,Senegal Colour Coded Analysis 25-26 June 2025.pdf
Senegalese Shippers' Council (Conseil Sénégalais des Chargeurs - COSEC),PART_OF_INDUSTRY,Maritime Transport,Senegal Colour Coded Analysis 25-26 June 2025.pdf
VISION SÉNÉGAL 2050 - Stratégie nationale de Développement 2025 -2029,INFLUENCED_BY,Blue Economy,Senegal Colour Coded Analysis 25-26 June 2025.pdf
Data Science,LEADS_TO,Aquaculture,South Africa Colour Coded Analysis 25-26 June 2025.pdf
Marine Robotics,LEADS_TO,Aquaculture,South Africa Colour Coded Analysis 25-26 June 2025.pdf
Port Operations,PART_OF_INDUSTRY,Marine Transport,South Africa Colour Coded Analysis 25-26 June 2025.pdf
Architectural Design,REQUIRES_SKILL,Design,South African Higher Education Prerequisites_.pdf
